Date,Pilot Code,Vehicle Code,Station Code,Start Time,End Time,Distance,Total collection
25-06-2024,1265,2328,504,07:40:08,18:10:42,152.5,1764
25-06-2024,1149,2355,504,07:59:18,19:37:28,172.6,1749
25-06-2024,1116,2112,503,09:07:13,19:04:30,103.5,1121
25-06-2024,1112,2297,511,09:08:39,17:37:42,0,1212
25-06-2024,1181,2319,504,10:04:32,18:57:03,88.2,803
26-06-2024,1152,2349,504,07:00:02,17:35:28,133.7,1418
26-06-2024,1022,2016,503,08:45:34,17:08:22,109,1257
26-06-2024,1017,2023,504,08:19:58,17:45:45,120.3,1241
26-06-2024,1023,2026,503,08:50:56,18:04:27,103.5,1200
26-06-2024,1048,2044,504,08:06:10,17:59:38,122.7,1216
26-06-2024,1055,2055,504,07:52:20,22:05:59,162.7,1723
26-06-2024,1116,2112,503,08:30:25,18:56:56,112.6,1210
26-06-2024,1685,2293,511,08:24:22,20:12:56,0,1017
26-06-2024,1375,2295,511,07:31:40,20:08:23,105.1,1138
26-06-2024,1227,2316,504,08:29:49,20:37:21,132.2,1326
26-06-2024,1265,2328,504,07:31:50,19:52:19,149.2,1619
